cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2018-3646,,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=958f338e96f874a0d29442396d6adf9c1e17aa2d,,
CVE-2017-2616,,,https://github.com/karelzak/util-linux/commit/dffab154d29a288aa171ff50263ecc8f2e14a891,
CVE-2017-2616,,,https://github.com/karelzak/util-linux/commit/b018571132cb8c9fece3d75ed240cc74cdb5f0f7,
CVE-2012-0027,,,https://github.com/OneSignal/openssl/commit/6bf896d9b1693916d9e8d303f9e3cc04959632b2,
CVE-2017-1000198,,,https://github.com/open-iscsi/tcmu-runner/commit/61bd03e600d2abf309173e9186f4d465bb1b7157,
CVE-2002-2443,,,https://github.com/krb5/krb5/commit/cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,
CVE-2002-2443,,,https://github.com/krb5/krb5/commit/70fd4a2843c47c750ef84bb9322818d4795bd983,
CVE-2002-2443,,,https://github.com/krb5/krb5/commit/a273b12e3fe8678d7bf3c3c4f39d3f08a192a720,
CVE-2018-10893,,https://gitlab.freedesktop.org/spice/spice-common/-/commit/3050b4e1f6f39c1a9f8a286791d06705fce1ecb7,,
CVE-2018-10893,,https://gitlab.freedesktop.org/spice/spice-common/-/commit/5173ff871a7df11e230124b4d1724653ebaa7134,,
CVE-2019-1551,,,https://github.com/openssl/openssl/commit/419102400a2811582a7a3d4a4e317d72e5ce0a8f,
CVE-2019-1551,,,https://github.com/openssl/openssl/commit/46ac489a1369f6d938adda356accab83acf2987a,
CVE-2019-1551,,,https://github.com/openssl/openssl/commit/8c6f86c7c5350fadf22d32d6cd4712e2ad4447ba,
CVE-2019-1551,,,https://github.com/openssl/openssl/commit/75d8b191a0940db110e84844fea0b023fbf07ca4,
CVE-2019-1551,,,https://github.com/openssl/openssl/commit/8736f9538121443cdb2e21951a85e465b8f7f790,
CVE-2019-1551,,,https://github.com/openssl/openssl/commit/f1c5eea8a817075d31e43f5876993c6710238c98,
CVE-2019-1551,,,https://github.com/openssl/openssl/commit/69f98d55165526f2e5547f3b22ecedca21ea88a7,
CVE-2018-5808,,,https://github.com/LibRaw/LibRaw/commit/a7adfe103e0f913f3897233ad07262f581980caa,
CVE-2018-5808,,,https://github.com/LibRaw/LibRaw/commit/ce4a43cdb3352a3bbeeefcde452a4ff76921af54,
CVE-2018-5808,,,https://github.com/LibRaw/LibRaw/commit/fd6330292501983ac75fe4162275794b18445bd9,
CVE-2019-9636,,,https://github.com/python/cpython/commit/16e6f7dee7f02bb81aa6b385b982dcdda5b99286,
CVE-2019-9636,,,https://github.com/python/cpython/commit/daad2c482c91de32d8305abbccc76a5de8b3a8be,
CVE-2019-9636,,,https://github.com/python/cpython/commit/e37ef41289b77e0f0bb9a6aedb0360664c55bdd5,
CVE-2019-9636,,,https://github.com/python/cpython/commit/c0d95113b070799679bcb9dc49d4960d82e8bb08,
CVE-2019-9636,,,https://github.com/python/cpython/commit/23fc0416454c4ad5b9b23d520fbe6d89be3efc24,
CVE-2018-5711,,http://git.php.net/?p=php-src.git;a=commit;h=8d6e9588671136837533fe3785657c31c5b52767,,
CVE-2018-5711,,http://git.php.net/?p=php-src.git;a=commit;h=40d4118efe85b967b5ca2606f9d3009e013faf36,,
CVE-2018-5711,,http://git.php.net/?p=php-src.git;a=commit;h=3b50e238b2d7ec2a3d46aa428694e02479477b7a,,
CVE-2018-5711,,http://git.php.net/?p=php-src.git;a=commit;h=f03943129b18fac7bbb0801eef8298e13cfce106,,
CVE-2005-2090,https://svn.apache.org/viewvc?view=revision&revision=1552565,,,
CVE-2017-7472,,,https://github.com/torvalds/linux/commit/c9f838d104fed6f2f61d68164712e3204bf5271b,
CVE-2017-10688,,,https://github.com/vadz/libtiff/commit/6173a57d39e04d68b139f8c1aa499a24dbe74ba1,
CVE-2015-8901,,,https://github.com/ImageMagick/ImageMagick/commit/97aa7d7cfd2027f6ba7ce42caf8b798541b9cdc6,
CVE-2017-11692,,,https://github.com/jbeder/yaml-cpp/commit/c9460110e072df84b7dee3eb651f2ec5df75fb18,
CVE-2019-9021,,http://git.php.net/?p=php-src.git;a=commit;h=428d8164ffcf6f75a6cc9d4056e54bfd450dac03,,
CVE-2019-9021,,http://git.php.net/?p=php-src.git;a=commit;h=78bd3477745f1ada9578a79f61edb41886bec1cb,,
CVE-2019-9021,,http://git.php.net/?p=php-src.git;a=commit;h=9d388b95c54ea053ce6f194defe1ff6673195747,,
CVE-2019-1003017,,,https://github.com/jenkinsci/job-import-plugin/commit/8f826a684ba0969697d2a92a6f448aef8f03b66c,
CVE-2018-10675,,,https://github.com/torvalds/linux/commit/73223e4e2e3867ebf033a5a8eb2e5df0158ccc99,
CVE-2018-0873,,,https://github.com/chakra-core/ChakraCore/commit/024353a0019ddd845ac889deb8b4714df2122836,
CVE-2017-7542,,,https://github.com/torvalds/linux/commit/6399f1fae4ec29fab5ec76070435555e256ca3a6,
CVE-2018-6764,,,https://github.com/ligurio/libvirt/commit/759b4d1b0fe5f4d84d98b99153dfa7ac289dd167,
CVE-2018-6764,,,https://github.com/ligurio/libvirt/commit/c2dc6698c88fb591639e542c8ecb0076c54f3dfb,
CVE-2015-3812,,https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=b8ccc2a6add29823a0ff0492fc50372449007e7b,,
CVE-2016-8625,,,https://github.com/curl/curl/commit/9c91ec778104ae3b744b39444d544e82d5ee9ece,
CVE-2011-4623,,,https://github.com/rsyslog/rsyslog/commit/6bad782f154b7f838c7371bf99c13f6dc4ec4101,
CVE-2012-1013,,,https://github.com/krb5/krb5/commit/c5be6209311d4a8f10fda37d0d3f876c1b33b77b,
CVE-2012-1013,,,https://github.com/krb5/krb5/commit/f7d42a08d9a4e4559e3efa3ed199927407be658e,
CVE-2012-1013,,,https://github.com/krb5/krb5/commit/0b11a472cf0e83972228ad9ca6ee645e4ffd4c24,
CVE-2012-1013,,,https://github.com/krb5/krb5/commit/ca2909440015d33be42e77d1955194963d8c0955,
CVE-2011-4086,,,https://github.com/torvalds/linux/commit/15291164b22a357cb211b618adfef4fa82fc0de3,
CVE-2018-17183,,http://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=fb713b3818b52d8a6cf62c951eba2e1795ff9624,,
CVE-2019-1349,,,https://github.com/git/git/commit/0060fd1511b94c918928fa3708f69a3f33895a4a,
CVE-2016-9604,,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=ee8f844e3c5a73b999edf733df1c529d6503ec2f,,
CVE-2019-10187,,,https://github.com/moodle/moodle/commit/862d20bac060ade65947116e0cfa2fb7c83305c8,
CVE-2019-10187,,,https://github.com/moodle/moodle/commit/9a6c86b23fc0c77d0ecb0a48fc77efbc69e7271a,
CVE-2019-10187,,,https://github.com/moodle/moodle/commit/043b38d5809e95a5d16737bd562bdb57890bdd99,git_043b38d5809e95a5d16737bd562bdb57890bdd99==git_MDL-64
CVE-2019-10187,,https://git.moodle.org/gw?p=moodle.git&a=search&h=HEAD&st=commit&s=MDL-64623,,git_043b38d5809e95a5d16737bd562bdb57890bdd99==git_MDL-64
CVE-2017-11555,,,https://github.com/sass/libsass/commit/946ef4995bee1b19de581b69850e1eb841c06b12,
CVE-2013-5942,,,https://github.com/graphite-project/graphite-web/commit/4a9f98647be279a39a982bd94922fdec710b0b3f,
CVE-2013-5942,,,https://github.com/graphite-project/graphite-web/commit/c198e5836970f0970b96498fcbe6fa83d90110cf,
CVE-2014-3473,,,https://opendev.org/openstack/horizon/commit/de4466d88b816437fb29eff5ab23b9b964cd3985,
CVE-2014-3473,,,https://opendev.org/openstack/horizon/commit/c844bd692894353c60b320005b804970605e910f,
CVE-2014-3473,,,https://opendev.org/openstack/horizon/commit/32a7b713468161282f2ea01d5e2faff980d924cd,
CVE-2016-9810,,https://cgit.freedesktop.org/gstreamer/gst-plugins-good/commit?id1b574eddf789a59aff11ee0b6eb3fe1af288ff06,,
CVE-2016-9810,,https://cgit.freedesktop.org/gstreamer/gst-plugins-good/commit?b31c504645a814c59d91d49e4fe218acaf93f4ca,,
