cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2013-7398,,,https://github.com/AsyncHttpClient/async-http-client/commit/db6716ad2f10f5c2d5124904725017b2ba8c3434,git_3c9152e2c75f7e8b654beec40383748a14c6b51b==git_db6716ad2f10f5c2d5124904725017b2ba8c3434+git_fa056c572ab0c9b6edd05a7cc508898f35cc90d5+git_bbdc1b3cc6ffc0eda0dd0ad54557db557ae937f7
CVE-2013-7398,,,https://github.com/AsyncHttpClient/async-http-client/commit/3c9152e2c75f7e8b654beec40383748a14c6b51b,git_3c9152e2c75f7e8b654beec40383748a14c6b51b==git_db6716ad2f10f5c2d5124904725017b2ba8c3434+git_fa056c572ab0c9b6edd05a7cc508898f35cc90d5+git_bbdc1b3cc6ffc0eda0dd0ad54557db557ae937f7
CVE-2014-0035,https://svn.apache.org/viewvc?view=revision&revision=1564724,,,svn_1564724==git_5df3f72f1a26b7c9ac2888ab65e41f4105706580
CVE-2014-0035,,,https://github.com/apache/cxf/commit/5df3f72f1a26b7c9ac2888ab65e41f4105706580,svn_1564724==git_5df3f72f1a26b7c9ac2888ab65e41f4105706580
CVE-2014-0035,,,https://github.com/apache/cxf/commit/2d2fd1bf67dc2247b6aca31b83a571d865fad1c9,
CVE-2014-0050,,,https://github.com/apache/commons-fileupload/commit/60c71bb5ddb709808e1a855e8299b5f5ad617aa5,svn_1565143==git_60c71bb5ddb709808e1a855e8299b5f5ad617aa5
CVE-2014-0050,http://svn.apache.org/viewvc?view=revision&revision=1565169,,,
CVE-2014-0050,http://svn.apache.org/viewvc?view=revision&revision=1565143,,,
CVE-2014-0050,,,https://github.com/apache/tomcat80/commit/b3a4e573c122289e2fa8da4ea5a557af3b469d74,git_b3a4e573c122289e2fa8da4ea5a557af3b469d74==git_29384723d8d9645b87e05be9fa369a4deeb78b9c
CVE-2014-0050,,,https://github.com/apache/tomcat/commit/29384723d8d9645b87e05be9fa369a4deeb78b9c,git_b3a4e573c122289e2fa8da4ea5a557af3b469d74==git_29384723d8d9645b87e05be9fa369a4deeb78b9c
CVE-2014-0050,,,https://github.com/apache/commons-fileupload/commit/c61ff05b3241cb14d989b67209e57aa71540417a,svn_1565143==git_c61ff05b3241cb14d989b67209e57aa71540417a
CVE-2014-0072,,,https://github.com/apache/cordova-plugin-file-transfer/commit/a1d6fc07e8a40c1b2b16f4103c403b30e1089668,
